cluster	am	ar	br	ca	cp	da	hl	ho	mo	lo	ne	oy	pb	sa	sh	sm	ur	example
sgene1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	(null)
sgene2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	(null)
sgene3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	(null)
sgene4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	(null)
sgene5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	(null)
sgene6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	(null)
sgene7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	(null)
sgene8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	(null)
sgene9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	(null)
sgene10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	(null)
sgene11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	(null)
sgene12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	(null)
sgene13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	(null)
sgene14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	(null)
sgene15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	(null)
sgene16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	(null)
sgene17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	(null)
sgene18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	(null)
sgene19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	(null)
sgene20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	(null)
sgene21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	(null)
sgene22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	(null)
sgene23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	(null)
sgene24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	(null)
sgene25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	(null)
sgene26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	(null)
sgene27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	(null)
sgene28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	(null)
sgene29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	(null)
sgene30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	(null)
sgene31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	(null)
sgene32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	(null)
sgene33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	(null)
sgene34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	(null)
sgene35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	(null)
sgene36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	(null)
sgene37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	(null)
sgene38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	(null)
sgene39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	(null)
sgene40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	(null)
sgene41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	(null)
sgene42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	(null)
sgene43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	(null)
sgene44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	(null)
sgene45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	(null)
sgene46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	(null)
sgene47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	(null)
sgene48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	(null)
sgene49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	(null)
sgene50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	(null)
sgene51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	(null)
sgene52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	(null)
sgene53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	(null)
sgene54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	(null)
sgene55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	(null)
sgene56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	(null)
sgene57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	(null)
sgene58	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	(null)
sgene59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	(null)
sgene60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	(null)
sgene61	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	(null)
sgene62	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	(null)
sgene63	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	(null)
sgene64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	(null)
sgene65	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	(null)
sgene66	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	(null)
sgene67	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	(null)
sgene68	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	(null)
sgene69	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	(null)
sgene70	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	(null)
sgene71	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	(null)
