cluster#	fragment_in_cluster	fragment_name	nearest_homolog
1	2		
2	2	Aqu1.200003	AT3G61113.1
3	2	Aqu1.200004	AT5G24320.2
4	2	Aqu1.200005	AT3G51460.1
5	2	Aqu1.200006	AT5G03790.1
6	2	Aqu1.200007	AT1G22060.1
7	2	Aqu1.200008	AT5G07760.1
8	2	Aqu1.200009	AT3G25970.1
9	2	Aqu1.200011	AT2G23630.1
10	2	Aqu1.200012	AT4G04670.1
10	2	Aqu1.200974	AT4G04670.1
11	2	Aqu1.200013	AT1G09760.1
12	2	Aqu1.200014	AT4G00710.1
12	2	Aqu1.200334	AT4G00710.1
12	2	Aqu1.200568	AT4G00710.1
13	2	Aqu1.200015	AT1G11050.1
14	2	Aqu1.200016	AT5G53620.1
15	2	Aqu1.200019	AT3G13050.1
16	2	Aqu1.200020	AT4G18260.1
17	2	Aqu1.200021	AT3G54080.1
18	2	Aqu1.200022	AT5G01540.1
19	2	Aqu1.200023	AT5G28740.1
19	2	Aqu1.200163	AT5G28740.1
20	2	Aqu1.200024	AT1G04470.1
21	2	Aqu1.200025	AT4G19380.1
22	2	Aqu1.200027	AT4G35800.1
23	2	Aqu1.200028	AT5G39500.1
24	2	Aqu1.200029	AT5G63990.1
25	2	Aqu1.200030	AT4G35740.1
25	2	Aqu1.200958	AT4G35740.1
26	2	Aqu1.200031	AT4G39890.1
27	2	Aqu1.200032	AT2G17190.1
28	2	Aqu1.200033	AT3G51700.1
29	2	Aqu1.200034	AT3G09090.1
30	2	Aqu1.200035	AT2G15910.1
31	2	Aqu1.200036	AT2G31820.1
31	2	Aqu1.200104	AT2G31820.1
31	2	Aqu1.200327	AT2G31820.1
32	2	Aqu1.200037	AT1G09620.1
33	2	Aqu1.200038	AT4G22140.1
34	2	Aqu1.200040	AT5G23010.1
35	2	Aqu1.200041	AT4G02510.1
36	2	Aqu1.200042	AT4G27780.1
37	2	Aqu1.200043	AT3G28770.1
38	2	Aqu1.200044	AT1G64610.1
39	2	Aqu1.200045	AT4G25340.1
40	2	Aqu1.200047	AT1G50010.1
41	2	Aqu1.200048	AT2G35630.1
42	2	Aqu1.200049	AT1G33390.1
43	2	Aqu1.200051	AT2G20960.1
43	2	Aqu1.200670	AT2G20960.1
44	2	Aqu1.200052	AT1G33890.1
45	2	Aqu1.200053	AT3G47830.1
45	2	Aqu1.200539	AT3G47830.1
46	2	Aqu1.200054	AT2G06500.1
46	2	Aqu1.200359	AT2G06500.1
47	2	Aqu1.200056	AT5G45400.1
48	2	Aqu1.200057	AT4G30100.1
49	2	Aqu1.200058	AT5G38270.1
50	2	Aqu1.200059	ATMG00860.1
50	2	Aqu1.200129	ATMG00860.1
50	2	Aqu1.200133	ATMG00860.1
50	2	Aqu1.200138	ATMG00860.1
50	2	Aqu1.200287	ATMG00860.1
50	2	Aqu1.200421	ATMG00860.1
50	2	Aqu1.200637	ATMG00860.1
50	2	Aqu1.200641	ATMG00860.1
50	2	Aqu1.200648	ATMG00860.1
50	2	Aqu1.200692	ATMG00860.1
50	2	Aqu1.200695	ATMG00860.1
50	2	Aqu1.201045	ATMG00860.1
50	2	Aqu1.201123	ATMG00860.1
51	2	Aqu1.200060	ATMG00850.1
51	2	Aqu1.200218	ATMG00850.1
51	2	Aqu1.200666	ATMG00850.1
52	2	Aqu1.200061	AT5G62190.1
53	2	Aqu1.200064	AT5G22330.1
54	2	Aqu1.200065	AT5G26860.1
